gid,tipo_recorrido,cantidad_paradas,linea_ramal,lng,lat
463,IDA,3,108-A-B 102-B 110-B,-58.8010795013532,-27.491399042442318
464,IDA,3,108-A-B 102-B 110-B,-58.803166762858226,-27.490826055542538
465,IDA,3,108-A-B 102-B 110-B,-58.805518808763956,-27.489740682842818
466,IDA,3,108-A-B 102-B 110-B,-58.807467768868932,-27.486744823043111
467,IDA,3,108-A-B 102-B 110-B,-58.809761811974376,-27.486774914043327
468,IDA,3,108-A-B 102-B 110-B,-58.812337151680474,-27.487049421443572
469,IDA,3,108-A-B 102-B 110-B,-58.814707637786128,-27.486872395643797
470,IDA,2,108-A-B 108-C,-58.795574602638055,-27.508520923641139
471,IDA,3,108-A-B 102-B 110-B,-58.815879343988918,-27.486790923543936
483,IDA,1,104-A 108-A-B,-58.825296998913977,-27.464051993645679
